time,roll,pitch,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,quat,head,depth,distance,switch,duty
20190731_213135,-0.09550313862737474,0.015635389316720223,-0.0030768470664724566,0.0,0.0,0.0,0.0,0.0,0.0,-44.7654649373604,-20.653952957245455,-134.94589508937912,"(0.9988289793434851, 0.0077352626187479345, -0.047743922061379215, -0.0011634612446681564)",2.611849853024212,depth,0,0,0
20190731_213135,-0.10360633224470969,0.015765273367795794,-0.003272273522182189,0.0,0.0,0.0,0.0,0.0,0.0,-42.47491028469807,-21.86122814037123,-135.50940434052404,"(0.9986268210531374, 0.00778725370280269, -0.051791201313402015, -0.0012257322661403667)",2.531267703065489,depth,0,0,0
20190731_213135,-0.11157478306247628,0.01588627728208169,-0.003573230129728946,0.0,0.0,0.0,0.0,0.0,0.0,-41.615952289949696,-21.559409344589785,-134.10063121266174,"(0.9984119873467586, 0.0078310696364117, -0.0557707799284965, -0.0013408865772098232)",2.5070236399503814,depth,0,0,0
20190731_213135,-0.1194351218912309,0.01597683823971763,-0.0038144859371585906,0.0,0.0,0.0,0.0,0.0,0.0,-41.32963295836691,-23.67214091505989,-133.25536733594436,"(0.9981846797344766, 0.007860255425509423, -0.05969526896483698, -0.0014270218085321174)",2.4326588219191922,depth,0,0,0
20190731_213136,-0.1271704023694497,0.016103135923003623,-0.004049124054911355,0.0,0.0,0.0,0.0,0.0,0.0,-41.615952289949696,-23.973959710841335,-134.10063121266174,"(0.9979457844805099, 0.007906552403288778, -0.06355644109885657, -0.0015087947247739944)",2.4085811633218586,depth,0,0,0
20190731_213136,-0.13467141271304173,0.016250768513872468,-0.004328303875815196,0.0,0.0,0.0,0.0,0.0,0.0,-40.18435563203573,-21.86122814037123,-132.69185808479943,"(0.9976997186047122, 0.007961252701727895, -0.06729999927523708, -0.0016124667594663205)",2.410322070947542,depth,0,0,0
20190731_213136,-0.14211006182624092,0.016318086165323806,-0.0045603950517149,0.0,0.0,0.0,0.0,0.0,0.0,-43.62018761102924,-21.86122814037123,-132.1283488336545,"(0.9974421801936653, 0.007976465857742154, -0.07101126480155932, -0.0016951207069891656)",2.4626883554838277,depth,0,0,0
20190731_213136,-0.14935216960794445,0.016328467193674843,-0.004857910385687663,0.0,0.0,0.0,0.0,0.0,0.0,-43.62018761102924,-21.25759054880834,-134.94589508937912,"(0.9971783402648204, 0.007960155605743782, -0.0746237672816075, -0.001813004724561563)",2.449947743409184,depth,0,0,0
20190731_213136,-0.15659567746633327,0.01643295872755015,-0.005151412823261903,0.0,0.0,0.0,0.0,0.0,0.0,-41.04331362678411,-22.16304693615267,-133.53712196151682,"(0.9969009866971545, 0.007989727890515661, -0.0782360602026683, -0.0019250595938607562)",2.348507954830733,depth,0,0,0
20190731_213136,-0.16344797842893385,0.016594991298054588,-0.005435021954383919,0.0,0.0,0.0,0.0,0.0,0.0,-42.47491028469807,-21.86122814037123,-132.69185808479943,"(0.9966263045584934, 0.008047846139182128, -0.081652411191269, -0.0020310049859546633)",2.371341539093913,depth,0,0,0
20190731_213136,-0.17038478473810753,0.016541725187449355,-0.005655952990425556,0.0,0.0,0.0,0.0,0.0,0.0,-43.62018761102924,-21.25759054880834,-133.25536733594436,"(0.9963372491652275, 0.008000117720924321, -0.08510943309859585, -0.0021138684809048807)",2.3888460147453254,depth,0,0,0
20190731_213136,-0.1771314147655537,0.016585767393154392,-0.005872870068311927,0.0,0.0,0.0,0.0,0.0,0.0,-42.47491028469807,-22.464865731934115,-132.69185808479943,"(0.9960442292668228, 0.008000532161561285, -0.08847080260250259, -0.002191327511275911)",2.3071917659360577,depth,0,0,0
20190731_213136,-0.18371929658101094,0.016662107020851174,-0.00612047562452338,0.0,0.0,0.0,0.0,0.0,0.0,-45.051784268943194,-23.973959710841335,-135.22764971495155,"(0.9957469877769248, 0.00801508687360192, -0.0917522888543183, -0.0022830255327433054)",2.3029459703748834,depth,0,0,0
